Concurso;Data Sorteio;1 Dezena;2 Dezena;3 Dezena;4 Dezena;5 Dezena;Arrecadacao Total;Ganhadores Quina;Cidade;Rateio Quina;Ganhadores Quadra;Rateio Quadra;Ganhadores Terno;Rateio Terno;Ganhadores Duque;Rateio Duque;Acumulado;Valor Acumulado;Estimativa Premio;Valor Acumulado Sorteio Especial São João
65;24/11/1994;003;025;060;062;075;0,00;1;;655.234,66;271;1.232,68;11166;39,80;0;0,00;NAO;0,00;0,00;0,00
66;27/11/1994;066;073;075;076;079;0,00;3;;94.678,83;335;847,87;9001;41,97;0;0,00;NAO;0,00;0,00;0,00
67;01/12/1994;005;023;036;067;070;0,00;1;;246.640,35;236;1.045,09;11156;29,41;0;0,00;NAO;0,00;0,00;0,00
68;04/12/1994;007;052;068;069;076;0,00;1;;293.047,58;234;1.252,34;11636;33,50;0;0,00;NAO;0,00;0,00;0,00
69;08/12/1994;016;061;065;072;078;0,00;0;;0,00;208;1.212,33;9342;35,91;0;0,00;SIM;252.164,43;252.164,43;0,00
70;11/12/1994;005;025;052;057;062;0,00;1;;575.634,84;379;853,49;15129;28,44;0;0,00;NAO;0,00;0,00;0,00
71;15/12/1994;027;055;066;073;075;0,00;1;;252.175,88;191;1.320,30;11031;30,41;0;0,00;NAO;0,00;0,00;0,00
72;18/12/1994;012;023;039;054;072;0,00;0;;0,00;330;928,07;12806;31,82;0;0,00;SIM;306.262,58;306.262,58;0,00
73;26/12/1994;006;017;049;065;070;0,00;5;;161.640,02;450;1.115,42;20328;32,85;0;0,00;NAO;0,00;0,00;0,00
74;02/01/1995;041;047;049;070;074;0,00;2;;202.435,41;267;1.516,37;12156;44,41;0;0,00;NAO;0,00;0,00;0,00
75;05/01/1995;004;027;046;053;055;0,00;0;;0,00;191;1.268,65;10721;30,14;0;0,00;SIM;242.311,98;242.311,98;0,00
76;08/01/1995;003;023;058;062;074;0,00;2;;299.603,12;273;1.307,30;12673;37,55;0;0,00;NAO;0,00;0,00;0,00
77;12/01/1995;006;009;027;043;065;0,00;5;;53.348,61;403;661,90;15484;22,97;0;0,00;NAO;0,00;0,00;0,00
78;15/01/1995;002;019;050;059;069;0,00;1;;315.063,74;296;1.064,40;14707;28,56;0;0,00;NAO;0,00;0,00;0,00
79;19/01/1995;004;018;055;057;074;0,00;0;;0,00;230;1.102,92;11061;30,58;0;0,00;SIM;253.672,70;253.672,70;0,00
80;22/01/1995;035;042;055;060;078;0,00;3;;194.662,30;214;1.543,53;10359;42,52;0;0,00;NAO;0,00;0,00;0,00
81;26/01/1995;013;031;045;056;063;0,00;6;;42.857,88;400;642,87;14061;24,39;0;0,00;NAO;0,00;0,00;0,00
82;29/01/1995;013;034;055;064;080;0,00;1;;301.776,16;286;1.055,16;13687;29,40;0;0,00;NAO;0,00;0,00;0,00
83;02/02/1995;017;020;030;033;068;0,00;1;;251.345,92;198;1.269,43;10014;33,46;0;0,00;NAO;0,00;0,00;0,00
84;05/02/1995;001;008;013;053;061;0,00;3;;105.031,25;393;801,76;17224;24,39;0;0,00;NAO;0,00;0,00;0,00
85;09/02/1995;003;020;027;032;061;0,00;1;;284.798,56;221;1.288,68;10724;35,41;0;0,00;NAO;0,00;0,00;0,00
86;12/02/1995;013;049;057;067;078;0,00;1;;336.515,39;282;1.193,32;14157;31,69;0;0,00;NAO;0,00;0,00;0,00
87;16/02/1995;018;029;037;051;057;0,00;2;;139.085,38;236;1.178,69;10952;33,86;0;0,00;NAO;0,00;0,00;0,00
88;19/02/1995;011;025;049;051;053;0,00;4;;83.294,27;272;1.224,91;12187;36,45;0;0,00;NAO;0,00;0,00;0,00
89;23/02/1995;002;032;040;053;054;0,00;0;;0,00;152;1.805,37;8120;45,06;0;0,00;SIM;274.415,24;274.415,24;0,00
90;26/02/1995;008;016;032;074;079;0,00;5;;119.552,51;343;942,70;13629;31,64;0;0,00;NAO;0,00;0,00;0,00
91;05/03/1995;007;030;033;052;069;0,00;2;;173.489,32;296;1.172,22;13303;34,78;0;0,00;NAO;0,00;0,00;0,00
92;09/03/1995;011;025;029;042;066;0,00;1;;276.048,28;306;902,12;12924;28,48;0;0,00;NAO;0,00;0,00;0,00
93;12/03/1995;004;006;027;068;074;0,00;0;;0,00;411;807,09;16755;26,40;0;0,00;SIM;331.714,13;331.714,13;0,00
94;16/03/1995;001;019;059;065;080;0,00;10;;73.212,91;890;449,91;28660;18,63;0;0,00;NAO;0,00;0,00;0,00
95;19/03/1995;006;043;050;063;071;0,00;0;;0,00;198;1.844,44;10593;45,97;0;0,00;SIM;365.198,74;365.198,74;0,00
96;23/03/1995;004;050;051;052;077;0,00;6;;131.419,41;347;1.219,94;13979;40,38;0;0,00;NAO;0,00;0,00;0,00
97;26/03/1995;005;006;016;054;070;0,00;1;;367.765,84;401;917,12;18661;26,28;0;0,00;NAO;0,00;0,00;0,00
98;30/03/1995;004;016;017;035;049;0,00;6;;48.540,52;530;549,52;19954;19,46;0;0,00;NAO;0,00;0,00;0,00
99;02/04/1995;002;009;017;066;076;0,00;5;;68.627,90;467;734,77;19632;23,31;0;0,00;NAO;0,00;0,00;0,00
100;06/04/1995;033;036;056;058;060;0,00;4;;71.109,21;271;1.049,58;10263;36,96;0;0,00;NAO;0,00;0,00;0,00
101;09/04/1995;012;027;028;030;036;0,00;7;;48.937,16;852;402,06;16678;27,39;0;0,00;NAO;0,00;0,00;0,00
102;16/04/1995;005;023;050;065;067;0,00;4;;92.403,02;377;980,40;16659;29,59;0;0,00;NAO;0,00;0,00;0,00
103;23/04/1995;012;016;053;064;066;0,00;0;;0,00;309;1.292,37;16232;32,81;0;0,00;SIM;399.341,56;399.341,56;0,00
104;27/04/1995;020;030;036;048;053;0,00;2;;365.864,81;246;1.351,17;12297;36,04;0;0,00;NAO;0,00;0,00;0,00
105;30/04/1995;003;007;045;046;065;0,00;1;;341.897,10;456;749,77;18410;24,76;0;0,00;NAO;0,00;0,00;0,00
106;07/05/1995;020;021;043;045;067;0,00;0;;0,00;235;1.733,40;12629;43,01;0;0,00;SIM;407.348,20;407.348,20;0,00
107;11/05/1995;002;003;030;039;072;0,00;4;;194.166,63;386;956,79;16894;29,15;0;0,00;NAO;0,00;0,00;0,00
108;14/05/1995;001;019;050;052;054;0,00;1;;352.881,11;323;1.092,52;16307;28,85;0;0,00;NAO;0,00;0,00;0,00
109;18/05/1995;001;021;027;048;078;0,00;2;;134.085,06;187;1.434,07;9870;36,23;0;0,00;NAO;0,00;0,00;0,00
110;21/05/1995;001;019;027;036;057;0,00;1;;329.436,18;519;634,75;21550;20,38;0;0,00;NAO;0,00;0,00;0,00
111;25/05/1995;015;042;054;068;076;0,00;2;;128.539,82;388;662,58;11580;29,60;0;0,00;NAO;0,00;0,00;0,00
112;28/05/1995;031;041;075;076;079;0,00;0;;0,00;145;2.262,52;7858;55,67;0;0,00;SIM;328.066,19;328.066,19;0,00
113;01/06/1995;012;014;042;061;069;0,00;2;;332.104,88;219;1.534,90;12349;36,29;0;0,00;NAO;0,00;0,00;0,00
114;04/06/1995;010;020;044;058;065;0,00;2;;172.930,35;273;1.266,89;13445;34,30;0;0,00;NAO;0,00;0,00;0,00
115;08/06/1995;002;021;038;054;073;0,00;2;;141.207,15;187;1.510,24;9567;39,36;0;0,00;NAO;0,00;0,00;0,00
116;11/06/1995;016;020;034;056;057;0,00;2;;175.464,06;287;1.222,75;14048;33,31;0;0,00;NAO;0,00;0,00;0,00
117;18/06/1995;007;011;024;042;049;0,00;11;;37.401,84;835;492,72;27654;19,84;0;0,00;NAO;0,00;0,00;0,00
118;22/06/1995;014;023;026;056;077;0,00;1;;260.618,99;215;1.212,18;10446;33,27;0;0,00;NAO;0,00;0,00;0,00
119;25/06/1995;002;016;019;026;027;0,00;7;;46.239,39;714;453,33;24667;17,50;0;0,00;NAO;0,00;0,00;0,00
120;29/06/1995;007;039;048;058;062;0,00;1;;258.402,58;149;1.734,25;8392;41,06;0;0,00;NAO;0,00;0,00;0,00
121;02/07/1995;019;022;053;069;077;0,00;2;;159.648,75;309;1.033,32;13023;32,69;0;0,00;NAO;0,00;0,00;0,00
122;06/07/1995;002;008;012;053;054;0,00;4;;66.124,72;393;673,03;16129;21,87;0;0,00;NAO;0,00;0,00;0,00
123;09/07/1995;008;020;064;068;073;0,00;1;;346.078,46;205;1.688,19;11227;41,10;0;0,00;NAO;0,00;0,00;0,00
124;13/07/1995;010;011;012;023;037;0,00;3;;91.274,29;644;425,19;23387;15,61;0;0,00;NAO;0,00;0,00;0,00
125;16/07/1995;010;013;022;050;066;0,00;0;;0,00;425;809,73;18357;24,99;0;0,00;SIM;344.133,18;344.133,18;0,00
126;20/07/1995;004;012;063;078;080;0,00;4;;172.200,10;515;669,26;18851;24,38;0;0,00;NAO;0,00;0,00;0,00
127;23/07/1995;014;018;059;060;064;0,00;2;;171.110,18;371;922,43;14697;31,05;0;0,00;NAO;0,00;0,00;0,00
128;27/07/1995;017;024;047;049;066;0,00;4;;68.633,06;375;732,09;14572;25,12;0;0,00;NAO;0,00;0,00;0,00
129;30/07/1995;005;009;012;023;071;0,00;4;;81.435,82;691;471,41;25782;16,85;0;0,00;NAO;0,00;0,00;0,00
130;02/08/1995;018;034;038;040;043;0,00;2;;134.672,44;317;849,67;13086;27,44;0;0,00;NAO;0,00;0,00;0,00
131;06/08/1995;013;032;056;073;074;0,00;0;;0,00;320;1.065,06;13324;34,11;0;0,00;SIM;340.818,76;340.818,76;0,00
132;10/08/1995;019;025;063;074;077;0,00;4;;177.891,48;323;1.147,82;14657;33,73;0;0,00;NAO;0,00;0,00;0,00
133;13/08/1995;013;018;043;047;053;0,00;3;;120.036,61;578;623,03;22304;21,53;0;0,00;NAO;0,00;0,00;0,00
134;17/08/1995;010;028;060;062;074;0,00;1;;272.433,43;142;1.918,54;8100;44,85;0;0,00;NAO;0,00;0,00;0,00
135;20/08/1995;002;053;057;062;064;0,00;2;;181.640,26;188;1.932,35;10672;45,39;0;0,00;NAO;0,00;0,00;0,00
136;24/08/1995;009;019;024;059;061;0,00;5;;55.490,67;413;671,80;16193;22,85;0;0,00;NAO;0,00;0,00;0,00
137;28/08/1995;013;014;037;066;075;0,00;1;;369.492,62;367;1.006,79;18598;26,49;0;0,00;NAO;0,00;0,00;0,00
138;31/08/1995;013;023;037;056;080;0,00;0;;0,00;305;857,43;14000;24,91;0;0,00;SIM;261.517,32;261.517,32;0,00
139;03/09/1995;014;052;054;065;077;0,00;1;;692.848,59;343;1.257,53;15425;37,29;0;0,00;NAO;0,00;0,00;0,00
140;10/09/1995;032;043;050;057;075;0,00;0;;0,00;391;1.184,29;14928;41,36;0;0,00;SIM;463.058,80;463.058,80;0,00
141;14/09/1995;006;051;053;054;057;0,00;2;;430.785,68;402;991,32;13691;38,81;0;0,00;NAO;0,00;0,00;0,00
142;17/09/1995;015;021;056;079;080;0,00;2;;200.964,52;425;945,72;17807;30,10;0;0,00;NAO;0,00;0,00;0,00
143;21/09/1995;014;027;039;048;061;0,00;0;;0,00;255;1.171,19;12171;32,72;0;0,00;SIM;298.652,06;298.652,06;0,00
144;24/09/1995;016;024;042;071;075;0,00;3;;248.567,44;403;1.109,31;17126;34,81;0;0,00;NAO;0,00;0,00;0,00
145;28/09/1995;002;008;040;055;060;0,00;3;;96.434,37;351;824,23;13028;29,61;0;0,00;NAO;0,00;0,00;0,00
146;01/10/1995;012;018;021;031;069;0,00;1;;368.296,44;436;844,72;19273;25,48;0;0,00;NAO;0,00;0,00;0,00
147;05/10/1995;001;018;052;067;072;0,00;2;;142.877,20;185;1.544,62;10857;35,10;0;0,00;NAO;0,00;0,00;0,00
148;08/10/1995;032;033;043;046;052;0,00;2;;193.827,48;203;1.909,63;11474;45,05;0;0,00;NAO;0,00;0,00;0,00
149;15/10/1995;008;016;018;022;073;0,00;2;;215.616,99;616;700,05;25679;22,39;0;0,00;NAO;0,00;0,00;0,00
150;19/10/1995;012;024;026;039;040;0,00;3;;90.443,80;256;1.059,89;12149;29,78;0;0,00;NAO;0,00;0,00;0,00
151;22/10/1995;022;023;042;054;065;0,00;2;;179.767,42;287;1.252,74;13358;35,89;0;0,00;NAO;0,00;0,00;0,00
152;26/10/1995;005;014;031;038;075;0,00;1;;269.533,15;264;1.020,96;12460;28,84;0;0,00;NAO;0,00;0,00;0,00
153;29/10/1995;002;010;011;015;066;0,00;12;;28.749,87;975;353,85;30984;14,84;0;0,00;NAO;0,00;0,00;0,00
154;05/11/1995;005;009;041;064;067;0,00;1;;412.078,15;420;981,14;17888;30,71;0;0,00;NAO;0,00;0,00;0,00
155;09/11/1995;012;030;048;070;075;0,00;0;;0,00;205;1.345,35;8648;42,52;0;0,00;SIM;275.795,69;275.795,69;0,00
156;12/11/1995;007;012;029;054;055;0,00;5;;134.249,62;471;839,61;19816;26,61;0;0,00;NAO;0,00;0,00;0,00
157;19/11/1995;042;050;052;066;072;0,00;0;;0,00;193;2.301,90;11013;53,79;0;0,00;SIM;444.266,48;444.266,48;0,00
158;23/11/1995;002;027;035;044;055;0,00;3;;269.364,65;340;1.070,08;16565;29,29;0;0,00;NAO;0,00;0,00;0,00
159;26/11/1995;004;011;024;025;032;0,00;9;;40.692,45;751;487,66;27331;17,87;0;0,00;NAO;0,00;0,00;0,00
160;30/11/1995;008;025;042;060;063;0,00;4;;67.474,59;215;1.255,34;9987;36,03;0;0,00;NAO;0,00;0,00;0,00
161;03/12/1995;013;029;041;061;074;0,00;0;;0,00;219;1.671,30;11020;44,29;0;0,00;SIM;366.015,35;366.015,35;0,00
162;07/12/1995;020;025;057;067;078;0,00;4;;183.228,81;201;1.825,37;11282;43,36;0;0,00;NAO;0,00;0,00;0,00
163;10/12/1995;009;014;016;052;071;0,00;4;;90.867,67;368;987,69;17960;26,98;0;0,00;NAO;0,00;0,00;0,00
164;14/12/1995;007;009;019;045;080;0,00;8;;37.106,35;794;373,87;27223;14,54;0;0,00;NAO;0,00;0,00;0,00
165;17/12/1995;012;021;027;045;075;0,00;3;;124.518,71;531;703,50;20617;24,16;0;0,00;NAO;0,00;0,00;0,00
166;21/12/1995;002;031;041;043;044;0,00;3;;96.414,55;247;1.171,03;10504;36,72;0;0,00;NAO;0,00;0,00;0,00
167;26/12/1995;020;033;062;063;069;0,00;1;;342.331,02;150;2.282,21;9187;49,68;0;0,00;NAO;0,00;0,00;0,00
168;02/01/1996;015;026;030;044;069;0,00;3;;138.454,57;305;1.361,85;15088;36,71;0;0,00;NAO;0,00;0,00;0,00
169;07/01/1996;003;015;030;056;072;0,00;1;;423.810,25;446;950,25;19934;28,35;0;0,00;NAO;0,00;0,00;0,00
170;11/01/1996;018;022;027;074;075;0,00;3;;95.126,48;260;1.097,61;12056;31,56;0;0,00;NAO;0,00;0,00;0,00
171;14/01/1996;012;018;037;047;056;0,00;4;;90.848,87;414;877,77;19297;25,11;0;0,00;NAO;0,00;0,00;0,00
172;18/01/1996;037;038;057;067;079;0,00;1;;276.340,54;194;1.424,43;9730;37,87;0;0,00;NAO;0,00;0,00;0,00
173;21/01/1996;022;029;034;042;051;0,00;2;;176.972,15;237;1.493,43;11135;42,38;0;0,00;NAO;0,00;0,00;0,00
174;25/01/1996;011;016;023;044;048;0,00;5;;53.550,20;432;619,79;16042;22,26;0;0,00;NAO;0,00;0,00;0,00
175;28/01/1996;029;060;064;072;079;0,00;2;;165.557,11;166;1.994,66;8076;54,67;0;0,00;NAO;0,00;0,00;0,00
176;01/02/1996;001;027;029;036;073;0,00;2;;127.970,18;165;1.551,16;9849;34,65;0;0,00;NAO;0,00;0,00;0,00
177;04/02/1996;009;033;048;067;073;0,00;9;;38.560,64;356;974,85;13289;34,82;0;0,00;NAO;0,00;0,00;0,00
178;08/02/1996;005;014;015;066;068;0,00;3;;92.874,84;363;767,56;16307;22,78;0;0,00;NAO;0,00;0,00;0,00
179;11/02/1996;030;060;065;068;075;0,00;3;;122.379,90;172;2.134,54;8886;55,09;0;0,00;NAO;0,00;0,00;0,00
180;15/02/1996;001;020;023;025;049;0,00;1;;285.225,15;303;941,34;13615;27,93;0;0,00;NAO;0,00;0,00;0,00
181;18/02/1996;006;021;031;037;064;0,00;3;;103.962,02;257;1.213,57;11150;37,29;0;0,00;NAO;0,00;0,00;0,00
182;25/02/1996;009;044;046;057;059;0,00;1;;371.297,04;279;1.330,82;14259;34,72;0;0,00;NAO;0,00;0,00;0,00
183;29/02/1996;020;033;048;069;070;0,00;1;;254.265,55;164;1.550,40;7869;43,08;0;0,00;NAO;0,00;0,00;0,00
184;03/03/1996;022;029;038;058;062;3.760.330,00;2; - BA;173.727,25;244;1.423,99;11451;40,46;0;0,00;NAO;0,00;0,00;0,00
185;07/03/1996;009;024;028;031;045;0,00;3;;87.102,73;357;731,96;14403;24,19;0;0,00;NAO;0,00;0,00;0,00
186;10/03/1996;006;020;021;046;063;0,00;0;;0,00;336;1.140,04;16018;31,89;0;0,00;SIM;383.051,74;383.051,74;0,00
187;14/03/1996;002;043;045;064;068;0,00;3;;243.816,71;260;1.339,99;13588;34,19;0;0,00;NAO;0,00;0,00;0,00
188;17/03/1996;028;043;056;057;077;0,00;3;;134.450,50;317;1.272,40;15569;34,54;0;0,00;NAO;0,00;0,00;0,00
189;21/03/1996;001;005;052;053;071;0,00;0;;0,00;228;1.191,68;10832;33,44;0;0,00;SIM;271.702,83;271.702,83;0,00
190;24/03/1996;021;029;046;059;076;0,00;0;;0,00;296;1.479,73;13843;42,19;0;0,00;SIM;709.701,05;709.701,05;0,00
191;28/03/1996;004;007;019;035;056;0,00;10;;110.710,67;988;402,22;33505;15,82;0;0,00;NAO;0,00;0,00;0,00
192;31/03/1996;016;037;054;068;077;0,00;3;;129.246,72;488;794,55;17189;30,08;0;0,00;NAO;0,00;0,00;0,00
193;07/04/1996;012;013;051;067;073;0,00;3;;126.988,56;369;1.032,43;16893;30,07;0;0,00;NAO;0,00;0,00;0,00
